stroke_number,interval,async_ms,spm,n_unique_gps,v_bar,v_max,v_min,delta_v,delta_v_over_vbar
359,11. 2026-02-14 07:40,110.9,26.8,3,3.07,3.37,2.8,0.57,0.1857
360,11. 2026-02-14 07:40,74.8,27.2,4,3.2,3.45,3.01,0.44,0.1375
361,11. 2026-02-14 07:40,67.7,26.3,3,3.0567,3.3,2.65,0.65,0.2126
362,11. 2026-02-14 07:40,220.2,27.8,3,3.09,3.43,2.65,0.78,0.2524
363,11. 2026-02-14 07:40,136.0,26.8,3,3.19,3.33,3.05,0.28,0.0878
364,11. 2026-02-14 07:40,76.9,27.5,4,3.1175,3.4,2.72,0.68,0.2181
365,11. 2026-02-14 07:40,53.8,26.3,3,3.5333,3.72,3.4,0.32,0.0906
366,11. 2026-02-14 07:40,70.5,27.8,3,3.4733,3.73,3.21,0.52,0.1497
367,11. 2026-02-14 07:40,58.7,27.0,3,3.2567,3.42,3.14,0.28,0.086
368,11. 2026-02-14 07:40,33.5,26.3,3,3.53,3.73,3.14,0.59,0.1671
369,11. 2026-02-14 07:40,129.6,27.9,3,3.7933,3.97,3.69,0.28,0.0738
370,11. 2026-02-14 07:40,94.6,26.7,3,3.45,3.9,2.76,1.14,0.3304
382,11. 2026-02-14 07:40,63.6,26.6,3,2.7933,3.15,2.3,0.85,0.3043
383,11. 2026-02-14 07:40,72.2,26.1,3,3.0067,3.15,2.76,0.39,0.1297
384,11. 2026-02-14 07:40,86.6,26.2,4,3.145,3.39,2.76,0.63,0.2003
385,11. 2026-02-14 07:40,48.8,25.5,3,3.37,3.43,3.29,0.14,0.0415
386,11. 2026-02-14 07:40,43.9,25.6,3,3.4067,3.51,3.29,0.22,0.0646
387,11. 2026-02-14 07:40,83.5,27.2,3,3.4933,3.51,3.48,0.03,0.0086
5,12. 2026-02-14 07:40,257.5,27.8,3,4.1067,4.58,3.45,1.13,0.2752
6,12. 2026-02-14 07:40,73.3,25.9,4,4.035,4.58,3.61,0.97,0.2404
7,12. 2026-02-14 07:40,126.4,26.8,3,3.76,4.01,3.61,0.4,0.1064
8,12. 2026-02-14 07:40,109.5,26.3,3,3.8333,3.99,3.66,0.33,0.0861
9,12. 2026-02-14 07:40,116.5,26.9,6,3.7133,3.85,3.49,0.36,0.0969
12,12. 2026-02-14 07:40,84.4,27.0,3,3.4367,3.49,3.36,0.13,0.0378
13,12. 2026-02-14 07:40,179.7,25.1,3,3.3733,3.39,3.36,0.03,0.0089
14,12. 2026-02-14 07:40,71.4,26.9,4,3.565,3.75,3.39,0.36,0.101
15,12. 2026-02-14 07:40,27.1,27.1,3,3.84,4.49,3.28,1.21,0.3151
16,12. 2026-02-14 07:40,145.9,27.4,5,3.212,3.74,2.53,1.21,0.3767
18,12. 2026-02-14 07:40,115.2,27.8,3,2.9333,3.14,2.53,0.61,0.208
19,12. 2026-02-14 07:40,77.2,27.1,3,3.4867,3.83,3.14,0.69,0.1979
22,12. 2026-02-14 07:40,87.5,27.5,3,3.5367,3.75,3.32,0.43,0.1216
23,12. 2026-02-14 07:40,93.5,26.7,3,3.3433,3.4,3.31,0.09,0.0269
24,12. 2026-02-14 07:40,81.4,27.8,3,3.4933,3.62,3.31,0.31,0.0887
25,12. 2026-02-14 07:40,8.4,27.7,2,3.68,3.95,3.41,0.54,0.1467
26,12. 2026-02-14 07:40,33.4,26.5,4,3.715,3.95,3.33,0.62,0.1669
27,12. 2026-02-14 07:40,50.8,27.3,5,3.398,3.75,3.15,0.6,0.1766
29,12. 2026-02-14 07:40,67.3,27.3,3,3.25,3.6,3.0,0.6,0.1846
30,12. 2026-02-14 07:40,51.6,27.8,4,3.0825,3.47,2.8,0.67,0.2174
31,12. 2026-02-14 07:40,90.9,26.6,5,3.5,4.07,3.1,0.97,0.2771
33,12. 2026-02-14 07:40,87.5,27.0,3,3.4433,4.07,3.03,1.04,0.302
34,12. 2026-02-14 07:40,73.1,27.8,3,3.4867,3.75,3.03,0.72,0.2065
35,12. 2026-02-14 07:40,38.0,26.8,4,3.5425,3.75,3.38,0.37,0.1044
36,12. 2026-02-14 07:40,48.3,28.2,3,3.2733,3.44,3.08,0.36,0.11
37,12. 2026-02-14 07:40,12.4,27.1,3,2.96,3.08,2.87,0.21,0.0709
38,12. 2026-02-14 07:40,44.5,27.5,3,2.9533,3.06,2.87,0.19,0.0643
39,12. 2026-02-14 07:40,90.3,27.0,3,2.94,3.09,2.67,0.42,0.1429
40,12. 2026-02-14 07:40,26.3,26.4,3,2.6867,2.81,2.58,0.23,0.0856
41,12. 2026-02-14 07:40,89.7,26.4,2,2.665,2.75,2.58,0.17,0.0638
42,12. 2026-02-14 07:40,73.9,27.2,3,2.9433,3.27,2.58,0.69,0.2344
43,12. 2026-02-14 07:40,72.5,28.0,3,2.9067,3.04,2.7,0.34,0.117
44,12. 2026-02-14 07:40,118.4,27.9,3,2.9533,3.28,2.54,0.74,0.2506
45,12. 2026-02-14 07:40,204.6,27.7,4,2.64,3.1,2.18,0.92,0.3485
46,12. 2026-02-14 07:40,232.3,26.8,3,2.29,2.42,2.18,0.24,0.1048
47,12. 2026-02-14 07:40,167.4,27.2,3,2.5367,2.64,2.42,0.22,0.0867
48,12. 2026-02-14 07:40,141.0,26.6,3,2.52,2.63,2.38,0.25,0.0992
49,12. 2026-02-14 07:40,58.2,27.3,3,2.4033,2.5,2.33,0.17,0.0707
50,12. 2026-02-14 07:40,173.7,26.5,4,2.3375,2.39,2.28,0.11,0.0471
51,12. 2026-02-14 07:40,50.9,26.7,3,2.5567,2.75,2.35,0.4,0.1565
52,12. 2026-02-14 07:40,145.1,27.6,3,2.46,2.57,2.29,0.28,0.1138
53,12. 2026-02-14 07:40,106.1,26.4,3,2.3967,2.6,2.29,0.31,0.1293
54,12. 2026-02-14 07:40,119.6,26.9,4,2.745,3.05,2.6,0.45,0.1639
55,12. 2026-02-14 07:40,93.2,26.2,2,2.565,2.65,2.48,0.17,0.0663
56,12. 2026-02-14 07:40,146.6,26.7,3,2.1933,2.48,1.66,0.82,0.3739
62,12. 2026-02-14 07:40,94.6,26.5,3,2.5833,2.79,2.33,0.46,0.1781
63,12. 2026-02-14 07:40,176.4,26.8,2,2.76,2.89,2.63,0.26,0.0942
64,12. 2026-02-14 07:40,114.1,27.2,6,3.0617,3.64,2.28,1.36,0.4442
66,12. 2026-02-14 07:40,83.2,28.1,3,2.9733,3.5,2.21,1.29,0.4339
