stroke_number,interval,async_ms,spm,n_unique_gps,v_bar,v_max,v_min,delta_v,delta_v_over_vbar
105,11. 2026-02-14 07:40,77.3,23.5,3,3.8,3.86,3.72,0.14,0.0368
125,11. 2026-02-14 07:40,174.5,24.8,3,3.4133,3.84,2.99,0.85,0.249
126,11. 2026-02-14 07:40,132.1,24.4,3,3.5033,3.74,3.36,0.38,0.1085
127,11. 2026-02-14 07:40,206.1,26.6,6,3.365,3.74,2.97,0.77,0.2288
130,11. 2026-02-14 07:40,212.2,24.0,3,3.6133,4.03,2.97,1.06,0.2934
131,11. 2026-02-14 07:40,141.1,24.6,4,3.5775,3.84,3.21,0.63,0.1761
132,11. 2026-02-14 07:40,113.3,24.7,3,3.2567,3.49,3.07,0.42,0.129
133,11. 2026-02-14 07:40,120.4,25.2,4,3.1125,3.5,2.88,0.62,0.1992
134,11. 2026-02-14 07:40,88.5,25.4,3,3.3333,3.53,2.97,0.56,0.168
135,11. 2026-02-14 07:40,86.4,25.5,3,3.0,3.09,2.94,0.15,0.05
136,11. 2026-02-14 07:40,109.7,25.1,4,3.1875,3.48,2.94,0.54,0.1694
137,11. 2026-02-14 07:40,123.0,26.0,3,3.05,3.14,2.88,0.26,0.0852
138,11. 2026-02-14 07:40,55.6,25.0,4,3.2025,3.44,2.88,0.56,0.1749
139,11. 2026-02-14 07:40,145.2,26.0,3,3.3,3.47,3.17,0.3,0.0909
140,11. 2026-02-14 07:40,65.9,25.6,3,3.1167,3.2,2.98,0.22,0.0706
141,11. 2026-02-14 07:40,110.0,26.1,3,3.5167,4.07,2.98,1.09,0.31
142,11. 2026-02-14 07:40,85.4,24.8,4,3.56,4.07,2.89,1.18,0.3315
143,11. 2026-02-14 07:40,122.5,25.9,3,3.06,3.24,2.89,0.35,0.1144
144,11. 2026-02-14 07:40,57.1,24.6,4,3.2175,3.24,3.18,0.06,0.0186
145,11. 2026-02-14 07:40,139.4,25.3,3,3.22,3.4,3.04,0.36,0.1118
146,11. 2026-02-14 07:40,203.6,25.3,3,3.15,3.3,3.04,0.26,0.0825
147,11. 2026-02-14 07:40,164.9,25.6,4,3.19,3.34,2.98,0.36,0.1129
148,11. 2026-02-14 07:40,174.9,24.5,3,3.0467,3.36,2.8,0.56,0.1838
149,11. 2026-02-14 07:40,163.2,25.8,4,3.0075,3.37,2.8,0.57,0.1895
150,11. 2026-02-14 07:40,81.5,26.2,3,3.0167,3.26,2.76,0.5,0.1657
151,11. 2026-02-14 07:40,59.9,24.8,3,2.9867,3.31,2.76,0.55,0.1842
152,11. 2026-02-14 07:40,104.6,25.1,4,3.105,3.3,2.89,0.41,0.132
153,11. 2026-02-14 07:40,191.6,26.7,3,3.21,3.42,2.96,0.46,0.1433
154,11. 2026-02-14 07:40,116.9,25.1,3,3.0867,3.35,2.95,0.4,0.1296
155,11. 2026-02-14 07:40,108.6,26.1,4,3.1575,3.27,2.95,0.32,0.1013
156,11. 2026-02-14 07:40,100.8,25.6,3,3.3433,3.62,3.2,0.42,0.1256
