t_rel_s,ref[Seat 4 (Seat 4)],other[Seat 1 (Seat 1)]
0.8935,0.18646,0.05691
0.9035,0.22202,0.05691
0.9135,0.22202,0.05691
0.9235,0.22202,0.05691
0.9335,0.22202,0.05691
0.9435,0.22202,0.05691
0.9535,0.22138,0.05691
0.9635,0.20781,0.05691
0.9735,0.20781,0.05691
0.9835,0.20781,0.05691
0.9935,0.20781,0.05691
