stroke_number,interval,async_ms,spm,speed_m_s,v_rel,empirical_speed_loss_pct,theory_k048_pct,theory_k093_pct
148,11. 2026-02-14 07:40,174.9,24.5,2.98,0.9500258486989488,-4.997415130105121,-2.1404391744421254,-4.182157883815642
149,11. 2026-02-14 07:40,163.2,25.8,2.8,0.8926417370325692,-10.735826296743078,-2.103230433796347,-4.109456528927035
150,11. 2026-02-14 07:40,81.5,26.2,3.03,0.9659658797173876,-3.4034120282612434,-1.0666106041204353,-2.084027427757329
151,11. 2026-02-14 07:40,59.9,24.8,2.76,0.8798897122178183,-12.011028778218169,-0.7420368962829528,-1.4498498686283272
152,11. 2026-02-14 07:40,104.6,25.1,2.89,0.9213337928657592,-7.866620713424077,-1.3114520098787235,-2.5624177635366254
153,11. 2026-02-14 07:40,191.6,26.7,3.25,1.036102016198518,3.610201619851794,-2.5553698308017574,-4.992881933558151
154,11. 2026-02-14 07:40,116.9,25.1,2.96,0.9436498362915732,-5.635016370842683,-1.4656667299696253,-2.8637345751188485
155,11. 2026-02-14 07:40,108.6,26.1,2.95,0.9404618300878856,-5.953816991211436,-1.4158502753501656,-2.766399280139108
156,11. 2026-02-14 07:40,100.8,25.6,3.21,1.023349991383767,2.334999138376692,-1.288983904706927,-2.5185178180017944
157,11. 2026-02-14 07:40,236.0,25.6,3.2,1.0201619851800792,2.0161985180079167,-3.0178591419725667,-5.8965298119883265
158,11. 2026-02-14 07:40,166.6,26.2,3.14,1.0010339479579529,0.10339479579528632,-2.180335296275638,-4.260110054777557
159,11. 2026-02-14 07:40,138.1,26.5,3.29,1.048854041013269,4.885404101326896,-1.8280435991988722,-3.5717749149965385
160,11. 2026-02-14 07:40,92.5,25.3,3.1,0.9882819231432016,-1.1718076856798376,-1.1689858410025988,-2.284056192483065
161,11. 2026-02-14 07:40,196.6,26.7,2.87,0.9149577804583836,-8.50422195416164,-2.622054847263181,-5.123176347273134
162,11. 2026-02-14 07:40,72.9,27.0,3.09,0.985093916939514,-1.490608306048602,-0.9831918943896657,-1.9210374120988856
163,11. 2026-02-14 07:40,90.8,25.0,2.91,0.9277098052731346,-7.229019472686538,-1.1338950364601639,-2.21549302721357
