interval,stroke_num,timestamp,spm,async_ms,speed_ms,run_id,run_mean_speed,v_rel,seat1_catch,seat2_catch,seat3_catch,seat4_catch
11. 2026-02-14 07:40,57,2026-02-14 04:10:39.802422523+00:00,23.8,306.4,2.94,88323414_1,3.118813559322034,0.9426661594478561,2026-02-14 04:10:39.496018410+00:00,2026-02-14 04:10:39.802422523+00:00,2026-02-14 04:10:39.720106840+00:00,2026-02-14 04:10:39.677922964+00:00
11. 2026-02-14 07:40,58,2026-02-14 04:10:42.325694323+00:00,23.3,230.8,2.93,88323414_1,3.118813559322034,0.939459811966741,2026-02-14 04:10:42.411034584+00:00,2026-02-14 04:10:42.325694323+00:00,2026-02-14 04:10:42.271740198+00:00,2026-02-14 04:10:42.180219650+00:00
11. 2026-02-14 07:40,59,2026-02-14 04:10:44.900187492+00:00,26.2,41.5,2.93,88323414_1,3.118813559322034,0.939459811966741,2026-02-14 04:10:44.859716415+00:00,2026-02-14 04:10:44.900187492+00:00,2026-02-14 04:10:44.901212454+00:00,2026-02-14 04:10:44.862283945+00:00
11. 2026-02-14 07:40,60,2026-02-14 04:10:47.193000555+00:00,24.2,103.0,2.99,88323414_1,3.118813559322034,0.958697896853432,2026-02-14 04:10:47.222978115+00:00,2026-02-14 04:10:47.193000555+00:00,2026-02-14 04:10:47.120014906+00:00,2026-02-14 04:10:47.135648012+00:00
11. 2026-02-14 07:40,61,2026-02-14 04:10:49.671512842+00:00,24.5,117.5,3.2,88323414_1,3.118813559322034,1.0260311939568503,2026-02-14 04:10:49.661865950+00:00,2026-02-14 04:10:49.671512842+00:00,2026-02-14 04:10:49.563627958+00:00,2026-02-14 04:10:49.554011583+00:00
11. 2026-02-14 07:40,62,2026-02-14 04:10:52.120721579+00:00,24.9,156.4,2.9,88323414_1,3.118813559322034,0.9298407695233954,2026-02-14 04:10:52.092269421+00:00,2026-02-14 04:10:52.120721579+00:00,2026-02-14 04:10:51.988477707+00:00,2026-02-14 04:10:51.964277983+00:00
11. 2026-02-14 07:40,63,2026-02-14 04:10:54.534613132+00:00,25.3,107.9,2.84,88323414_1,3.118813559322034,0.9106026846367045,2026-02-14 04:10:54.452219963+00:00,2026-02-14 04:10:54.534613132+00:00,2026-02-14 04:10:54.426706314+00:00,2026-02-14 04:10:54.460274458+00:00
11. 2026-02-14 07:40,64,2026-02-14 04:10:56.909109592+00:00,23.8,60.7,2.97,88323414_1,3.118813559322034,0.9522852018912017,2026-02-14 04:10:56.865439892+00:00,2026-02-14 04:10:56.909109592+00:00,2026-02-14 04:10:56.848434925+00:00,2026-02-14 04:10:56.889320135+00:00
11. 2026-02-14 07:40,65,2026-02-14 04:10:59.431201458+00:00,25.3,150.4,3.0,88323414_1,3.118813559322034,0.961904244334547,2026-02-14 04:10:59.356253862+00:00,2026-02-14 04:10:59.431201458+00:00,2026-02-14 04:10:59.280818462+00:00,2026-02-14 04:10:59.380964518+00:00
11. 2026-02-14 07:40,66,2026-02-14 04:11:01.803335905+00:00,24.6,95.4,3.18,88323414_1,3.118813559322034,1.01961849899462,2026-02-14 04:11:01.755031109+00:00,2026-02-14 04:11:01.803335905+00:00,2026-02-14 04:11:01.707974195+00:00,2026-02-14 04:11:01.801446676+00:00
11. 2026-02-14 07:40,67,2026-02-14 04:11:04.238724232+00:00,24.5,74.2,3.11,88323414_1,3.118813559322034,0.9971740666268137,2026-02-14 04:11:04.164484978+00:00,2026-02-14 04:11:04.238724232+00:00,2026-02-14 04:11:04.180454016+00:00,2026-02-14 04:11:04.201409101+00:00
11. 2026-02-14 07:40,68,2026-02-14 04:11:06.686473846+00:00,25.1,58.8,3.2,88323414_1,3.118813559322034,1.0260311939568503,2026-02-14 04:11:06.646517515+00:00,2026-02-14 04:11:06.686473846+00:00,2026-02-14 04:11:06.627629995+00:00,2026-02-14 04:11:06.628775597+00:00
11. 2026-02-14 07:40,69,2026-02-14 04:11:09.074625015+00:00,24.9,62.3,2.72,88323414_1,3.118813559322034,0.8721265148633227,2026-02-14 04:11:09.025261402+00:00,2026-02-14 04:11:09.074625015+00:00,2026-02-14 04:11:09.079871178+00:00,2026-02-14 04:11:09.087598562+00:00
11. 2026-02-14 07:40,70,2026-02-14 04:11:11.487041712+00:00,24.5,89.5,2.95,88323414_1,3.118813559322034,0.9458725069289713,2026-02-14 04:11:11.411210299+00:00,2026-02-14 04:11:11.487041712+00:00,2026-02-14 04:11:11.439836025+00:00,2026-02-14 04:11:11.500734329+00:00
